PUCID_productype,PUCID_refined,New.Description,refined,personal_communal,indoor_outdoor,cluster,Prev_hh,Prev_hh_yes,Prev_M,Prev_F,Prev_child,Freq,Freq_CV,HT,HT_CV,AT,Mass,Mass_CV
HM.1000.010,HM.1000.010.099.F,"insulation , spray foam NOC",1,Communal,I,0,NA,1,0.2,0.8,0,0.2,1,30,1,0,825,1
HM.1200.010,#N/A,#N/A,0,Communal,,0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM.1200.010,HM.1200.010.099.F,"lock deicer , lock deicer NOC",1,Communal,O,0,NA,1,0.8,0.2,0,4,1,5,1,0,20,1
HM.1300.010,#N/A,#N/A,0,Communal,,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM.1300.010,HM.1300.010.050.F,"lubricant , lubricant spray",1,Communal,I,0,NA,0.5,0.2,0.8,0,10,1,10,1,0,30,1
HM.1300.010,HM.1300.010.099.F,"lubricant , lubricant NOC",1,Communal,I,0,NA,0.5,0.2,0.8,0,10,1,10,1,0,30,1
HM.1400.010,#N/A,#N/A,0,Communal,,Painting,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM.1400.010,HM.1400.010.040.F,"paint/stain and related products , paint exterior",1,Communal,O,Painting,NA,0.25,0.8,0.2,0,2,1,120,0.6,30,3000,1
HM.1400.010,HM.1400.010.041.F,"paint/stain and related products , paint interior",1,Communal,I,Painting,NA,0.25,0.2,0.8,0,2,1,120,0.6,30,1000,1
HM.1400.010,HM.1400.010.050.F,"paint/stain and related products , paint spray",1,Communal,I,Painting,NA,0.25,0.2,0.8,0,4,1,30,1,30,180,1
HM.1400.010,HM.1400.010.099.F,"paint/stain and related products , paint NOC",1,Communal,I,Painting,NA,0.25,0.2,0.8,0,4,1,30,1,30,180,1
HM.1400.020,#N/A,#N/A,0,Communal,,Painting,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM.1400.020,HM.1400.020.050.F,"paint/stain and related products , paint cleaner spray",1,Communal,I,Painting,NA,0.5,0.2,0.8,0,12,0.3,10,1,0,50,1
HM.1400.020,HM.1400.020.099.F,"paint/stain and related products , paint cleaner NOC",1,Communal,I,Painting,NA,0.5,0.2,0.8,0,12,0.3,10,1,0,50,1
HM.1400.030,#N/A,#N/A,0,Communal,,Painting,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM.1400.030,HM.1400.030.099.F,"paint/stain and related products , paint texture NOC",1,Communal,I,Painting,NA,1,0.2,0.8,0,0.5,1,120,1,10,200,1
HM.1400.040,#N/A,#N/A,0,Communal,,Painting,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM.1400.040,HM.1400.040.099.F,"paint/stain and related products , paint thinner NOC",1,Communal,I,Painting,NA,1,0.2,0.8,0,3,1,10,1,0,500,1
HM.1400.050,#N/A,#N/A,0,Communal,,Painting,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
