PUCID_productype,NO2017,HUP,IUP,Seasonality,M,F,W,B,A,N,P,O,age0_5,age6_12,age13_15,age16_18,age19_49,age50plus,kownrent,sewdis,dishwash,stoven,cars,pcprint,swim,yard,Hot_Warm,Cool,Cold,personal_communal
LY.0600.040,,1,0,1,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,0,Communal
LY.0800.010,,1,0,1,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,0,0,1,Communal
LY.0600.050,,1,0,1,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,1,1,0,Communal
PC.0100.010,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2700.040,,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.0800.010,,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,Personal
PC.0800.020,,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,Personal
PC.0800.030,,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,Personal
PC.0800.040,,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,Personal
PC.0800.050,,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,Personal
PC.0800.060,,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,,,,,,,,,,,Communal
PC.0500.010,,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,Personal
PC.2800.010,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.0800.070,,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,Personal
PC.2800.020,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.0200.010,,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,Personal
PC.2300.010,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.0300.010,,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,Personal
PC.0400.010,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.0600.010,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.0700.010,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
